Order_ID,Order_Date,Order_Month,Category,Region,Gross_Amount,Final_Status,Delivery_Days,Customer_Rating,Net_Revenue
ORD00001,2023-04-13,2023-04,Điện thoại & Phụ kiện,Hà Nội,1680000.0,Canceled,11,0.0,0.0
ORD00002,2023-12-15,2023-12,Điện thoại & Phụ kiện,TP.HCM,4560000.0,Delivered,4,4.0,4560000.0
ORD00003,2023-09-28,2023-09,Điện thoại & Phụ kiện,Cần Thơ,1630000.0,Delivered,11,1.0,1630000.0
ORD00004,2023-04-17,2023-04,Điện thoại & Phụ kiện,Hải Phòng,4110000.0,Delivered,1,1.0,4110000.0
ORD00005,2023-03-13,2023-03,Thời trang,Cần Thơ,910000.0,Delivered,13,4.0,910000.0
ORD00006,2023-07-08,2023-07,Điện thoại & Phụ kiện,Hải Phòng,660000.0,Delivered,10,1.0,660000.0
ORD00007,2023-01-21,2023-01,Điện thoại & Phụ kiện,Cần Thơ,160000.0,Delivered,5,1.0,160000.0
ORD00008,2023-04-13,2023-04,Mỹ phẩm,TP.HCM,1210000.0,Returned,8,0.0,0.0
ORD00009,2023-05-02,2023-05,Điện thoại & Phụ kiện,Cần Thơ,4950000.0,Delivered,10,1.0,4950000.0
ORD00010,2023-08-03,2023-08,Điện thoại & Phụ kiện,Hà Nội,570000.0,Delivered,4,1.0,570000.0
ORD00011,2023-11-27,2023-11,Mỹ phẩm,Cần Thơ,0.0,Delivered,10,4.0,
ORD00012,2023-03-29,2023-03,Điện thoại & Phụ kiện,Hải Phòng,0.0,Delivered,10,1.0,
ORD00013,2023-04-10,2023-04,Điện thoại & Phụ kiện,Đà Nẵng,0.0,Delivered,4,3.0,
ORD00014,2023-12-26,2023-12,Thời trang,Cần Thơ,0.0,Delivered,13,3.0,
ORD00015,2023-06-01,2023-06,Điện thoại & Phụ kiện,Cần Thơ,0.0,Canceled,12,0.0,0.0
ORD00016,2023-05-11,2023-05,Thời trang,Cần Thơ,0.0,Delivered,9,3.0,
ORD00017,2023-05-30,2023-05,Mỹ phẩm,Hải Phòng,0.0,Delivered,9,2.0,
ORD00018,2023-11-05,2023-11,Điện thoại & Phụ kiện,Cần Thơ,0.0,Delivered,7,4.0,
ORD00019,2023-09-15,2023-09,Thời trang,Hải Phòng,0.0,Delivered,10,1.0,
ORD00020,2023-12-10,2023-12,Thời trang,Hải Phòng,0.0,Delivered,8,3.0,
ORD00021,2023-10-21,2023-10,Điện thoại & Phụ kiện,Đà Nẵng,0.0,Delivered,12,2.0,
ORD00022,2023-07-11,2023-07,Thời trang,Hà Nội,0.0,Delivered,12,4.0,
ORD00023,2023-10-04,2023-10,Điện thoại & Phụ kiện,Hải Phòng,0.0,Returned,4,0.0,0.0
ORD00024,2023-06-10,2023-06,Thời trang,TP.HCM,0.0,Delivered,8,1.0,
ORD00025,2023-11-10,2023-11,Điện thoại & Phụ kiện,Cần Thơ,0.0,Delivered,6,5.0,
ORD00026,2023-01-22,2023-01,Thời trang,TP.HCM,0.0,Delivered,13,3.0,
ORD00027,2023-09-10,2023-09,Điện thoại & Phụ kiện,Cần Thơ,0.0,Delivered,3,2.0,
ORD00028,2023-08-24,2023-08,Mỹ phẩm,Đà Nẵng,0.0,Delivered,7,4.0,
ORD00029,2023-12-11,2023-12,Điện thoại & Phụ kiện,Hải Phòng,0.0,Canceled,3,0.0,0.0
ORD00030,2023-02-18,2023-02,Thời trang,Hà Nội,0.0,Delivered,11,2.0,
ORD00031,2023-02-28,2023-02,Thời trang,Hải Phòng,0.0,Delivered,7,2.0,
ORD00032,2023-06-19,2023-06,Mỹ phẩm,Cần Thơ,0.0,Delivered,5,4.0,
ORD00033,2023-07-07,2023-07,Thời trang,Hà Nội,0.0,Delivered,4,3.0,
ORD00034,2023-09-28,2023-09,Thời trang,Hải Phòng,0.0,Delivered,3,2.0,
ORD00035,2023-07-09,2023-07,Mỹ phẩm,Hà Nội,0.0,Canceled,8,0.0,0.0
ORD00036,2023-06-24,2023-06,Mỹ phẩm,Cần Thơ,0.0,Delivered,4,3.0,
